t_sim_sec,t_ros_sec,t_ros_ns,rov_id,x_n,y_e,z_d,vx_n,vy_e,vz_d
5.29,1700000005.29,1700000005289999872,1,34.95280160413533,11.189001340355828,12.380624245520071,-0.017835020038248217,0.22429202322094,0.07185497896227133
5.3,1700000005.3,1700000005300000000,1,34.95262308571593,11.191244247211774,12.3813427925692,-0.017868663641351645,0.22428934544471701,0.0718544303460078
5.3100000000000005,1700000005.31,1700000005309999872,1,34.952444230862504,11.193487127264723,12.382061334126991,-0.017902306841932614,0.22428666262186425,0.07185388069510523
5.32,1700000005.32,1700000005320000000,1,34.95226503957909,11.195729980464211,12.382779870183102,-0.01793594963963585,0.22428397475255935,0.0718533300094748
5.33,1700000005.33,1700000005329999872,1,34.95208551186971,11.197972806759774,12.38349840072718,-0.017969592034106086,0.22428128183697993,0.0718527782890277
5.34,1700000005.34,1700000005340000000,1,34.95190564773841,11.20021560610095,12.384216925748882,-0.018003234023922232,0.22427858387503719,0.07185222553394155
5.3500000000000005,1700000005.35,1700000005349999872,1,34.95172544718923,11.202458378437274,12.38493544523786,-0.01803687560872902,0.22427588086681993,0.07185167174430518
5.36,1700000005.36,1700000005360000000,1,34.95154491022623,11.204701123718287,12.385653959183768,-0.018070516788171176,0.224273172812417,0.07185111691994095
5.37,1700000005.37,1700000005369999872,1,34.95136403685347,11.206943841893523,12.386372467576258,-0.018104157560827616,0.22427045971173953,0.07185056106084886
5.38,1700000005.38,1700000005380000000,1,34.951182827075016,11.209186532912522,12.387090970404985,-0.018137797925632526,0.22426774156514284,0.07185000416729537
5.39,1700000005.39,1700000005390000128,1,34.95100128089496,11.211429196724826,12.387809467659604,-0.018171437882585906,0.22426501837244928,0.0718494462389252
5.4,1700000005.4,1700000005400000000,1,34.950819398317364,11.213671833279971,12.388527959329764,-0.018205077430977212,0.22426229013374765,0.07184888727591598
5.41,1700000005.41,1700000005410000128,1,34.95063717934634,11.2159144425275,12.389246445405123,-0.01823871656938536,0.2242595568492156,0.07184832727844537
5.42,1700000005.42,1700000005420000000,1,34.950454623985976,11.218157024416955,12.389964925875333,-0.01827235529781035,0.22425681851876433,0.07184776624624689
5.43,1700000005.43,1700000005430000128,1,34.95027173224038,11.220399578897876,12.390683400730047,-0.018305993614831095,0.22425407514266027,0.07184720417940937
5.44,1700000005.44,1700000005440000000,1,34.95008850411368,11.222642105919808,12.391401869958921,-0.018339631520092325,0.2242513267208146,0.07184664107802163
5.45,1700000005.45,1700000005450000128,1,34.94990493960998,11.224884605432292,12.392120333551608,-0.018373269012528226,0.22424857325322733,0.07184607694199485
5.46,1700000005.46,1700000005460000000,1,34.94972103873343,11.227127077384873,12.392838791497761,-0.018406906091428255,0.2242458147400761,0.07184551177141785
5.47,1700000005.47,1700000005470000128,1,34.94953680148815,11.229369521727094,12.393557243787036,-0.01844054275679241,0.2242430511813609,0.07184494556637944
5.48,1700000005.48,1700000005480000000,1,34.94935222787829,11.2316119384085,12.394275690409088,-0.01847417900719961,0.22424028257725936,0.07184437832661317
5.49,1700000005.49,1700000005490000128,1,34.94916731790801,11.233854327378639,12.394994131353569,-0.018507814841228765,0.2242375089277715,0.07184381005229667
5.5,1700000005.5,1700000005500000000,1,34.94898207158147,11.236096688587056,12.395712566610134,-0.018541450258879877,0.2242347302328085,0.07184324074351878
5.51,1700000005.51,1700000005509999872,1,34.94879648890283,11.238339021983295,12.396430996168439,-0.018575085260152946,0.22423194649263678,0.07184267040019066
5.5200000000000005,1700000005.52,1700000005520000000,1,34.948610569876266,11.240581327516908,12.397149420018138,-0.018608719842916344,0.2242291577073452,0.07184209902231231
5.53,1700000005.53,1700000005529999872,1,34.94842431450597,11.242823605137442,12.397867838148885,-0.01864235400717007,0.2242263638767561,0.07184152660979493
5.54,1700000005.54,1700000005540000000,1,34.94823772279612,11.245065854794444,12.398586250550334,-0.018675987752203582,0.22422356500104712,0.07184095316290495
5.55,1700000005.55,1700000005549999872,1,34.94805079475093,11.247308076437463,12.399304657212143,-0.018709621076595795,0.2242207610803959,0.07184037868146476
5.5600000000000005,1700000005.56,1700000005560000000,1,34.94786353037459,11.249550270016051,12.400023058123963,-0.018743253979636165,0.22421795211489126,0.07183980316547434
5.57,1700000005.57,1700000005569999872,1,34.947675929671334,11.25179243547976,12.400741453275453,-0.018776886461679965,0.22421513810426674,0.07183922661502251
5.58,1700000005.58,1700000005580000000,1,34.94748799264536,11.254034572778137,12.401459842656264,-0.018810518521306108,0.2242123190487888,0.07183864903010928
5.59,1700000005.59,1700000005589999872,1,34.94729971930091,11.256276681860736,12.402178226256055,-0.01884415015709351,0.2242094949488127,0.07183807041073464
5.6000000000000005,1700000005.6,1700000005600000000,1,34.947111109642215,11.258518762677113,12.402896604064479,-0.01887778136939744,0.22420666580389437,0.07183749075680979
5.61,1700000005.61,1700000005609999872,1,34.94692216367352,11.260760815176814,12.403614976071191,-0.018911412156796814,0.22420383161430024,0.07183691006842352
5.62,1700000005.62,1700000005620000000,1,34.94673288139908,11.263002839309399,12.404333342265847,-0.01894504251858109,0.22420099238020796,0.07183632834566467
5.63,1700000005.63,1700000005630000128,1,34.94654326282315,11.265244835024419,12.405051702638104,-0.018978672454394996,0.22419814810161753,0.07183574558844441
5.64,1700000005.64,1700000005640000000,1,34.94635330794999,11.267486802271431,12.405770057177616,-0.019012301962817446,0.22419529877852895,0.07183516179676275
5.65,1700000005.65,1700000005650000128,1,34.94616301678389,11.26972874099999,12.40648840587404,-0.01904593104349317,0.22419244441103103,0.0718345769707085
5.66,1700000005.66,1700000005660000000,1,34.94597238932912,11.271970651159652,12.40720674871703,-0.019079559696066895,0.2241895849992126,0.07183399111019284
5.67,1700000005.67,1700000005670000128,1,34.94578142558997,11.274212532699973,12.407925085696244,-0.019113187918762264,0.22418672054316247,0.0718334042153046
5.68,1700000005.68,1700000005680000000,1,34.945590125570746,11.276454385570515,12.408643416801336,-0.01914681571157928,0.22418385104288063,0.07183281628595495
5.69,1700000005.69,1700000005690000128,1,34.94539848927574,11.278696209720831,12.409361742021963,-0.019180443073807396,0.22418097649845592,0.07183222732223271
5.7,1700000005.7,1700000005700000000,1,34.94520651670927,11.280938005100484,12.41008006134778,-0.0192140700043808,0.22417809690997714,0.07183163732413789
5.71,1700000005.71,1700000005710000128,1,34.94501420787565,11.28317977165903,12.410798374768445,-0.019247696502944223,0.2241752122774443,0.07183104629167048
5.72,1700000005.72,1700000005720000000,1,34.94482156277921,11.285421509346033,12.411516682273614,-0.019281322567721304,0.22417232260103503,0.07183045422483048
5.73,1700000005.73,1700000005730000128,1,34.9446285814243,11.287663218111051,12.412234983852942,-0.019314948199067317,0.22416942788074934,0.07182986112361789
5.74,1700000005.74,1700000005740000000,1,34.94443526381523,11.289904897903648,12.412953279496087,-0.019348573396271718,0.22416652811658722,0.07182926698803271
5.75,1700000005.75,1700000005750000128,1,34.94424160995637,11.292146548673383,12.413671569192703,-0.01938219815720288,0.2241636233087263,0.07182867181816377
5.76,1700000005.76,1700000005760000000,1,34.944047619852086,11.294388170369823,12.41438985293245,-0.019415822482571343,0.2241607134572554,0.07182807561401106
5.7700000000000005,1700000005.77,1700000005769999872,1,34.94385329350672,11.296629762942528,12.415108130704983,-0.019449446371311296,0.2241577985619969,0.07182747837539694
5.78,1700000005.78,1700000005780000000,1,34.94365863092466,11.298871326341063,12.415826402499958,-0.019483069822001653,0.22415487862330608,0.07182688010249905
5.79,1700000005.79,1700000005789999872,1,34.94346363211028,11.301112860514994,12.416544668307033,-0.019516692834642413,0.22415195364109408,0.0718262807954062
5.8,1700000005.8,1700000005800000000,1,34.943268297067966,11.303354365413885,12.417262928115866,-0.019550315408167762,0.22414902361544975,0.07182568045394078
5.8100000000000005,1700000005.81,1700000005809999872,1,34.94307262580212,11.305595840987303,12.417981181916112,-0.019583937541156615,0.2241460885464619,0.07182507907810276
